method,dataset,dimensions,hits@5,hits@25,hits@50,time,device
dothash,restaurant,1000,0.963963963963964,0.9819819819819819,0.9819819819819819,0.0019655650840281333,cpu
hyperhash,restaurant,1000,0.7657657657657657,0.8198198198198198,0.8288288288288288,0.001973798546049822,cpu
