method,dataset,dimensions,hits@5,hits@25,hits@50,time,device
dothash,restaurant,1000,0.963963963963964,0.9819819819819819,0.9819819819819819,0.0019631288997535084,cpu
hyperhash,restaurant,1000,0.7387387387387387,0.8378378378378378,0.8558558558558559,0.001989963712935658,cpu
