method,dataset,dimensions,hits@5,hits@25,hits@50,time,device
dothash,restaurant,1000,0.963963963963964,0.9819819819819819,0.9819819819819819,0.00195348318104401,cpu
hyperhash,restaurant,1000,0.963963963963964,0.9819819819819819,0.9819819819819819,0.0019619782950098166,cpu
