method,dataset,dimensions,hits@5,hits@25,hits@50,time,device
dothash,cddb,1000,0.8862745098039215,0.9019607843137255,0.9098039215686274,0.016159831616566107,cpu
hyperhash,cddb,1000,0.0,0.0,0.00392156862745098,0.021512614472847153,cpu
