method,dataset,dimensions,hits@5,hits@25,hits@50,time,device
dothash,restaurant,1000,0.963963963963964,0.9819819819819819,0.9819819819819819,0.0019735855735371673,cpu
hyperhash,restaurant,1000,0.8468468468468469,0.918918918918919,0.9369369369369369,0.0019504346316485837,cpu
